name,sweet,acidity,body,tannin,price,abv,type,nation,year
Altair,SWEET1,ACIDITY4,BODY5,TANNIN4,220000,14~15,Red,Chile,2014
"Altair, Sideral",SWEET1,ACIDITY3,BODY4,TANNIN4,110000,14~15,Red,Chile,2016
"Calvet, Bordeaux Red",SWEET1,ACIDITY3,BODY2,TANNIN3,21000,13~14,Red,France,2011
"Calvet, Bordeaux white",SWEET1,ACIDITY4,BODY2,TANNIN1,21000,11.5,White,France,2010
"Calvet, Varietals Merlot",SWEET1,ACIDITY3,BODY3,TANNIN3,19000,13~14,Red,France,2011
"Calvet, Premieres Cotes de Bordeaux",SWEET2,ACIDITY4,BODY3,TANNIN1,18000,13,White,France,2009
"Calvet, Medoc",SWEET1,ACIDITY4,BODY3,TANNIN3,32000,12~13,Red,France,2015
"Calvet, Saint Emilion",SWEET1,ACIDITY3,BODY2,TANNIN2,42000,12~13,Red,France,2010
Tavernello Rosato Frizzante,SWEET3,ACIDITY2,BODY3,TANNIN1,9000,11,Rose,Italy,0
Le Bailly de Camensac,SWEET1,ACIDITY4,BODY4,TANNIN3,50000,13~14,Red,France,2006
L'oratoire de Chasse Spleen,SWEET1,ACIDITY4,BODY3,TANNIN4,50000,12.5~13.5,Red,France,2017
Chateau Durfort Vivens,SWEET1,ACIDITY4,BODY4,TANNIN4,140000,13~14,Red,France,2017
La sirene de Giscours,SWEET1,ACIDITY3,BODY4,TANNIN3,80000,12~13,Red,France,2016
Chateau Haut Bages Averous,SWEET1,ACIDITY4,BODY4,TANNIN5,120000,13~14,Red,France,2015
"Concha y Toro, Carmin de Peumo",SWEET1,ACIDITY3,BODY5,TANNIN5,450000,14~15,Red,Chile,2013
"Carlo Rossi, Concord",SWEET4,ACIDITY1,BODY2,TANNIN1,15000,11,Red,USA,0
"Carlo Rossi, Red Muscat",SWEET3,ACIDITY1,BODY2,TANNIN1,15000,9.5,Red,USA,0
"Carlo Rossi, Califonia, White",SWEET3,ACIDITY2,BODY2,TANNIN1,9900,12.5~13.5,White,USA,0
"Gallo Family, Sonoma Pinot Noir",SWEET1,ACIDITY3,BODY3,TANNIN2,70000,14,Red,USA,2006
Mascaron Bordeaux Blanc,SWEET1,ACIDITY3,BODY2,TANNIN1,36000,12.5,White,France,2008
Ginestet Sauternes,SWEET5,ACIDITY3,BODY2,TANNIN1,62000,13.5,White,France,2010
"Ginestet, Selection Cabernet Sauvignon",SWEET1,ACIDITY4,BODY2,TANNIN3,17000,11.5,Red,France,2010
Henri Lavigne,SWEET2,ACIDITY3,BODY3,TANNIN1,14000,10.5,Sparkling,France,0
Jean Luc Colombo Cotes du Rhone 'Les Abeilles' Blanc,SWEET1,ACIDITY3,BODY4,TANNIN1,39000,13,White,France,2014
"Jean Moreau & Fils, Chablis Grand Cru 'Valmur'",SWEET1,ACIDITY5,BODY3,TANNIN1,150000,13,White,France,2017
"Jean Moreau & Fils, Sancerre",SWEET1,ACIDITY5,BODY2,TANNIN1,57000,12.5,White,France,2004
"Blue Nun, Cabernet Sauvignon",SWEET3,ACIDITY2,BODY3,TANNIN2,19000,13~14,Red,France,2017
"Blue Nun, Dornfelder ",SWEET3,ACIDITY4,BODY3,TANNIN4,22000,8~9,Red,Germany,2017
"Blue Nun, Eiswein Riesling",SWEET5,ACIDITY2,BODY3,TANNIN1,120000,10,White,Germany,2005
"Blue Nun, Gold Edition 22k",SWEET4,ACIDITY2,BODY3,TANNIN1,25000,10~11,Sparkling,Germany,0
"Blue Nun, Merlot",SWEET2,ACIDITY3,BODY2,TANNIN2,17000,13,Red,France,2011
"Blue Nun, White",SWEET3,ACIDITY4,BODY3,TANNIN1,18000,10,White,Germany,2017
"Blue Nun, Riesling Winemaker's Passion",SWEET3,ACIDITY5,BODY3,TANNIN1,35000,10~11,White,Germany,2016
"Blue Nun, Pink Icewein",SWEET4,ACIDITY2,BODY4,TANNIN1,60000,7~8,Rose,Spain,2011
Lindemans Cawarra Shiraz Cabernet,SWEET1,ACIDITY3,BODY3,TANNIN4,17000,13,Red,Australia,2014
"Marques de Caceres, Blanco",SWEET1,ACIDITY3,BODY3,TANNIN1,18000,12.5,White,Spain,2011
"Pol Roger, Cuvee Sir Winston Churchill",SWEET1,ACIDITY4,BODY4,TANNIN1,500000,12~13,Sparkling,France,2012
"Pol Roger, Brut Vintage",SWEET1,ACIDITY5,BODY4,TANNIN1,240000,12~13,Sparkling,France,2013
"Rocca Cerrina, Moscato d'Asti",SWEET4,ACIDITY2,BODY2,TANNIN1,30000,6~7,White,Italy,2017
"Ruffino, Riserva Ducale Oro Chiant Classico Grand Selezione",SWEET1,ACIDITY3,BODY5,TANNIN4,110000,14.5,Red,Italy,2015
Amigo Cabernet Sauvignon,SWEET2,ACIDITY4,BODY3,TANNIN3,14000,12~13,Red,Chile,2017
Amigo Merlot,SWEET2,ACIDITY3,BODY3,TANNIN2,14000,12~13,Red,Chile,2017
"San Pedro, Castillo de Molina Reserva Chardonnay",SWEET1,ACIDITY2,BODY3,TANNIN1,40000,14,White,Chile,2011
"San Pedro, Gato Negro Chardonnay",SWEET2,ACIDITY3,BODY2,TANNIN1,25000,12~13,White,Chile,2018
"San Pedro, Gato Negro Sauvignon Blanc",SWEET2,ACIDITY4,BODY2,TANNIN1,12000,11~12,White,Chile,2017
"San Pedro, Reserva Late Harvest",SWEET5,ACIDITY1,BODY4,TANNIN1,22000,12,White,Chile,2012
"Trapiche, Iscay Malbec Cabernet Franc",SWEET1,ACIDITY3,BODY4,TANNIN5,140000,14~15,Red,Argentina,2013
"Balbi Soprani, Brachetto d'Acqui",SWEET4,ACIDITY1,BODY3,TANNIN1,46000,6.5,Sparkling,Italy,0
"Chialri 1860, Lambrusco Rosso",SWEET2,ACIDITY2,BODY4,TANNIN2,13000,7~8,Red,Italy,0
"Agustinos, Winemaker Selection Pinot Noir",SWEET1,ACIDITY4,BODY3,TANNIN2,25000,14,Red,Chile,2015
Casa Porta Limited Reserve Pinot Noir,SWEET1,ACIDITY4,BODY2,TANNIN2,28000,14,Red,Chile,2015
"Agustinos, Carmenere",SWEET1,ACIDITY2,BODY2,TANNIN2,17000,13.5,Red,Chile,2009
"Domaine Jacques Prieur, Beaune 1er Cru Clos de la Feguine Blanc",SWEET1,ACIDITY4,BODY3,TANNIN1,230000,13,White,France,2014
"Domaine Jacques Prieur, Montrachet Grand Cru",SWEET1,ACIDITY4,BODY5,TANNIN1,1800000,13,White,France,2013
"Dourthe, Bordeaux Demi sec Grands Terroirs",SWEET3,ACIDITY3,BODY2,TANNIN1,24000,11,White,France,2007
Grant Burge Filsell Shiraz,SWEET1,ACIDITY4,BODY5,TANNIN5,120000,14,Red,Australia,2017
Saint Vincent Sweet,SWEET4,ACIDITY2,BODY2,TANNIN2,12000,11~12,Red,France,0
Manischewitz Concord,SWEET4,ACIDITY1,BODY2,TANNIN3,11500,11,Red,USA,0
"Sebastiani, Alexander Valley Merlot",SWEET1,ACIDITY3,BODY5,TANNIN3,110000,14.2,Red,USA,2004
Barokes Bubbly White,SWEET3,ACIDITY3,BODY3,TANNIN1,6900,13,Sparkling,Australia,0
Barokes Red Bin 121,SWEET2,ACIDITY2,BODY3,TANNIN1,6900,13,Sparkling,Australia,0
Blandy's Alvada 5 Y.O Rich,SWEET5,ACIDITY2,BODY5,TANNIN2,85000,19,Fortified,Portugal,0
Blandy's Santa Luzia Sweet,SWEET5,ACIDITY2,BODY5,TANNIN1,52000,19,Fortified,Portugal,0
"Campo Viejo, Dominio de Campo Viejo",SWEET1,ACIDITY4,BODY5,TANNIN3,92000,13.5,Red,Spain,2001
"Chateau de Fesles, Bonnezeaux",SWEET5,ACIDITY2,BODY4,TANNIN1,118000,12.5,White,France,2011
"Dr. H. Thanisch, Berncasteler Doctor Riesling Eiswein",SWEET5,ACIDITY4,BODY4,TANNIN1,240000,8.5,White,Germany,2003
"Dr. H. Thanisch, Berncasteler Doctor Riesling Spatlese",SWEET3,ACIDITY5,BODY4,TANNIN1,141000,8.5,White,Germany,2002
"Graham's Port, Late Bottled Vintage Port",SWEET5,ACIDITY1,BODY4,TANNIN2,66000,20,Fortified,Portugal,2008
"Graham's Port, 30 Years Tawny Port",SWEET2,ACIDITY2,BODY5,TANNIN2,399000,20,Fortified,Portugal,0
Calvados 1978,SWEET2,ACIDITY1,BODY5,TANNIN1,377000,42,Hard,France,0
Fresita,SWEET2,ACIDITY2,BODY2,TANNIN1,24000,7.9,Sparkling,Chile,0
"Beringer, Classic Red",SWEET1,ACIDITY2,BODY3,TANNIN3,19000,13,Red,USA,2009
"Cesari, Amarone della Valpolicella Bosan",SWEET2,ACIDITY3,BODY5,TANNIN3,172000,15.5,Red,Italy,2010
"Dow's, 10 Year Old Tawny Port",SWEET4,ACIDITY1,BODY5,TANNIN2,77000,20,Fortified,Portugal,0
"Dow's, 20 Year Old Tawny Port",SWEET4,ACIDITY1,BODY4,TANNIN2,160000,20,Fortified,Portugal,0
"Dow's, 40 Year Old Tawny Port",SWEET5,ACIDITY3,BODY5,TANNIN2,500000,20,Fortified,Portugal,0
"Dow's, Fine Tawny Port",SWEET5,ACIDITY2,BODY5,TANNIN3,38000,19,Fortified,Portugal,0
Grappa Tignanello,SWEET1,ACIDITY1,BODY5,TANNIN1,190000,42,Hard,Italy,0
Baron Philippe Pinot Noir,SWEET1,ACIDITY5,BODY3,TANNIN2,22000,12.5,Red,France,2013
"d'Arenberg, Noble Wrinkled Riesling",SWEET5,ACIDITY1,BODY3,TANNIN1,69000,11,White,Australia,2008
Elin Sweet,SWEET5,ACIDITY2,BODY4,TANNIN2,20000,10.5,Red,Italy,0
"Blossom Hill, Merlot",SWEET2,ACIDITY3,BODY3,TANNIN3,20000,13,Red,USA,2007
"Delicato, Old Vine Zinfandel",SWEET2,ACIDITY3,BODY4,TANNIN3,54000,14.5,Red,USA,2017
"Deutz, Brut Rose",SWEET1,ACIDITY5,BODY4,TANNIN2,220000,12,Sparkling,France,0
"Laroche, Chablis Reserve de L'Obedience Grand Cru",SWEET1,ACIDITY5,BODY5,TANNIN1,495000,12.5,White,France,2003
"Umani Ronchi, Jorio",SWEET1,ACIDITY5,BODY2,TANNIN2,46000,14,Red,Italy,2010
"Albino Rocca, Dolcetto d'Alba 'Vignalunga'",SWEET1,ACIDITY3,BODY4,TANNIN2,74000,12.5,Red,Italy,2011
"Domenico Clerico, Barolo Pajana",SWEET1,ACIDITY4,BODY3,TANNIN5,392000,14.5,Red,Italy,2004
"Forrest, Pinot Noir",SWEET1,ACIDITY5,BODY4,TANNIN3,94000,13.5,Red,New Zealand,2008
"Gunderloch, Diva Riesling Spatlese",SWEET3,ACIDITY5,BODY2,TANNIN1,92000,10.5,White,Germany,2011
"Gunderloch, Riesling Eiswein",SWEET5,ACIDITY2,BODY2,TANNIN1,182000,7.5,White,Germany,2004
"Lamura, Grillo",SWEET1,ACIDITY3,BODY1,TANNIN1,18700,12.5,White,Italy,2004
Honey Ice Icewine,SWEET5,ACIDITY3,BODY4,TANNIN1,38000,10,White,Australia,0
"Clos Du Val, Zinfandel",SWEET1,ACIDITY2,BODY4,TANNIN3,110000,14~15,Red,USA,2017
"Dr.Loosen, Riesling Kabinett",SWEET2,ACIDITY5,BODY3,TANNIN1,86000,8~9,White,Germany,2016
"La Spinetta, Barbaresco Starderi",SWEET1,ACIDITY5,BODY3,TANNIN5,400000,14~15,Red,Italy,2014
Tenuta la Marchesa Gavi,SWEET1,ACIDITY4,BODY1,TANNIN1,32000,12,White,Italy,2017
"Lang, Riesling Icewine",SWEET5,ACIDITY3,BODY3,TANNIN1,178000,9,White,Canada,2001
"Ibaci, Rosso Dolce",SWEET4,ACIDITY2,BODY4,TANNIN2,27000,12,Red,Canada,2005
"Two Hands, Angels' Share Shiraz",SWEET2,ACIDITY4,BODY4,TANNIN4,50000,15,Red,Australia,2017
"Marcel Deiss, Riesling Vendanges Tardives",SWEET4,ACIDITY4,BODY4,TANNIN1,120000,12.5~13.5,White,France,2015
EOS Zinfandel,SWEET2,ACIDITY2,BODY5,TANNIN3,77000,14.5,Red,USA,2016
"Zind Humbrecht, Gewurztraminer Heimbourg",SWEET2,ACIDITY3,BODY4,TANNIN1,104000,14.5,White,France,2008
"Zind Humbrecht, Gewurztraminer Heimbourg Vendange Tardive",SWEET4,ACIDITY3,BODY3,TANNIN1,236000,13.5,White,France,2002
